Gaià,Bages,154
Gallifa,Vallès Occidental,216
Gandesa,Terra Alta,3091
Garcia,Ribera d'Ebre,534
Garrigàs,Alt Empordà,346
Garrigoles,Baix Empordà,155
Garriguella,Alt Empordà,731
Gavà,Baix Llobregat,44531
Gavet de la Conca,Pallars Jussà,309
Gelida,Alt Penedès,5976
Ger,Cerdanya,450
Gimenells i el Pla de la Font,Segrià,1118
Ginestar,Ribera d'Ebre,965
Girona,Gironès,89890
Gironella,Berguedà,4786
Gisclareny,Berguedà,33
Glorianes,Conflent,23
Godall,Montsià,771
Golmés,Pla d'Urgell,1560
Gombrèn,Ripollès,222
Gósol,Berguedà,221
Granera,Vallès Oriental,75
Granollers,Vallès Oriental,58940
Granyanella,Segarra,172
Granyena de les Garrigues,Garrigues,176
Granyena de Segarra,Segarra,149
Gratallops,Priorat,246
Gualba,Vallès Oriental,1048
Gualta,Baix Empordà,358
Guardiola de Berguedà,Berguedà,931
Guils de Cerdanya,Cerdanya,438
Guimerà,Urgell,344
Guissona,Segarra,5139
Guixers,Solsonès,137
Gurb,Osona,2296
Horta de Sant Joan,Terra Alta,1238
Hortafà,Rosselló,1093
Hostalric,Selva,3619
Igualada,Anoia,36817
Illa,Rosselló,4993
Isona i Conca Dellà,Pallars Jussà,1139
Isòvol,Cerdanya,265
Ivars d'Urgell,Pla d'Urgell,1858
Ivars de Noguera,Noguera,357
Ivorra,Segarra,144
Jafre,Baix Empordà,386
Jóc,Conflent,146
Jorba,Anoia,714
Josa i Tuixén,Alt Urgell,176
Juià,Gironès,318
Jújols,Conflent,43
Juncosa,Garrigues,546
Juneda,Garrigues,3264
L'Albagés,Garrigues,492
L'Albera,Vallespir,77
L'Albi,Garrigues,811
L'Albiol,Baix Camp,348
L'Aldea,Baix Ebre,3795
L'Aleixar,Baix Camp,815
L'Ametlla de Mar,Baix Ebre,6744
L'Ametlla del Vallès,Vallès Oriental,7517
L'Ampolla,Baix Ebre,2613
L'Arboç,Baix Penedès,4802
L'Argentera,Baix Camp,155
L'Armentera,Alt Empordà,770
L'Escala,Alt Empordà,8795
L'Espluga Calba,Garrigues,452
L'Espluga de Francolí,Conca de Barberà,3857
L'Espunyola,Berguedà,272
L'Estany,Bages,383
L'Hospitalet de Llobregat,Barcelonès,248150
La Baronia de Rialb,Noguera,281
La Bastida,Rosselló,95
La Bisbal d'Empordà,Baix Empordà,9261
La Bisbal de Falset,Priorat,266
La Bisbal del Penedès,Baix Penedès,2815
La Cabanassa,Cerdanya,622
La Cellera de Ter,Selva,2096
La Coma i la Pedra,Solsonès,253
La Fatarella,Terra Alta,1160
La Febró,Baix Camp,58
La Figuera,Priorat,165
La Floresta,Garrigues,185
La Fuliola,Urgell,1235
La Galera,Montsià,824
La Garriga,Vallès Oriental,13942
La Granada,Alt Penedès,1754
La Granadella,Garrigues,774
La Granja d'Escarp,Segrià,1042
La Guingueta d'Àneu,Pallars Sobirà,360
La Guingueta d'Ix,Cerdanya,1116
La Jonquera,Alt Empordà,3020
La Llacuna,Anoia,860
La Llagosta,Vallès Oriental,13674
La Llaguna,Capcir,285
La Masó,Alt Camp,280
La Menera,Vallespir,60
La Molsosa,Solsonès,127
La Morera de Montsant,Priorat ,165
La Nou de Berguedà,Berguedà ,162
La Nou de Gaià,Tarragonès ,449
La Palma d'Ebre,Ribera d'Ebre ,398
La Palma de Cervelló,Baix Llobregat ,2988
La Pera,Baix Empordà,436
La Pobla de Cérvoles,Garrigues ,250
La Pobla de Claramunt,Anoia ,2112
La Pobla de Lillet,Berguedà ,1327
La Pobla de Mafumet,Tarragonès ,1465
La Pobla de Massaluca,Terra Alta ,407
La Pobla de Montornès,Tarragonès ,2339
La Pobla de Segur,Pallars Jussà ,3050
La Portella,Segrià,796
La Quar,Berguedà,61
La Riba,Alt Camp,682
La Riera de Gaià,Tarragonès ,1332
La Roca d'Albera,Rosselló,1941
La Roca del Vallès,Vallès Oriental ,9418
La Secuita,Tarragonès,1269
La Selva de Mar,Alt Empordà ,223
La Selva del Camp,Baix Camp ,4983
La Sénia,Montsià,5976
La Sentiu de Sió,Noguera,478
La Seu d'Urgell,Alt Urgell ,12533
La Tallada d'Empordà,Baix Empordà ,367
La Tor de Querol,Cerdanya,367
La Torre d'Elna,Rosselló,1926
La Torre de Cabdella,Pallars Jussà ,722
La Torre de Claramunt,Anoia ,3298
La Torre de Fontaubella,Priorat ,134
La Torre de l'Espanyol,Ribera d'Ebre ,714
La Vajol,Alt Empordà,101
La Vall d'en Bas,Garrotxa ,2650
La Vall de Bianya,Garrotxa ,1256
La Vall de Boí,Alta Ribagorça ,1079
La Vansa i Fórnols,Alt Urgell ,196
La Vilella Alta,Priorat,121
La Vilella Baixa,Priorat,198
Les,Val d'Aran,903
Les Avellanes i Santa Linya,Noguera,469
Les Borges Blanques,Garrigues,5606
Les Borges del Camp,Baix Camp,1914
Les Cabanyes,Alt Penedès,791
Les Cases de Pena,Rosselló,576
Les Cluses,Vallespir,219
Les Franqueses del Vallès,Vallès Oriental,15817
Les Llosses,Ripollès,246
Les Masies de Roda,Osona,742
Les Masies de Voltregà,Osona,3125
Les Oluges,Segarra,174
Les Piles,Conca de Barberà ,196
Les Planes d'Hostoles,Garrotxa ,1798
Les Preses,Garrotxa,1692
Les Valls d'Aguilar,Alt Urgell ,314
Les Valls de Valira,Alt Urgell ,744
Linyola,Pla d'Urgell,2583
Lladó,Alt Empordà,591
Lladorre,Pallars Sobirà,211
Lladurs,Solsonès,207
Llagostera,Gironès,7062
Llambilles,Gironès,612
Llanars,Ripollès,558
Llançà,Alt Empordà,4611
Llardecans,Segrià,562
Llauró,Rosselló,270
Llavorsí,Pallars Sobirà,334
Lleida,Segrià,125677
Llers,Alt Empordà,1167
Lles de Cerdanya,Cerdanya,227
Lliçà d'Amunt,Vallès Oriental,12938
Lliçà de Vall,Vallès Oriental,6033
Llimiana,Pallars Jussà,158
Llinars del Vallès,Vallès Oriental,8425
Llívia,Cerdanya,1291
Llo,Cerdanya,133
Llobera,Solsonès,222
Llorac,Conca de Barberà,116
Llorenç del Penedès,Baix Penedès,2073
Lloret de Mar,Selva,32728
Lluçà,Osona,253
Llupià,Rosselló,1797
Maçanet de Cabrenys,Alt Empordà,700
Maçanet de la Selva,Selva,5712
Madremanya,Gironès,222
Maià de Montcal,Garrotxa,379
Maials,Segrià,973
Maldà,Urgell,285
Malgrat de Mar,Maresme,19923
Malla,Osona,257
Manlleu,Osona,19979
Manresa,Bages,71772
Marçà,Priorat,653
Margalef,Priorat,128
Marganell,Bages,288
Marquixanes,Conflent,397
Martorell,Baix Llobregat,26170
Martorelles,Vallès Oriental,4938
Mas de Barberans,Montsià,679
Masarac,Alt Empordà,265
Masdenverge,Montsià,1077
Masllorenç,Baix Penedès,500
Maspujols,Baix Camp,529
Masquefa,Anoia,7414
Massalcoreig,Segrià,635
Massanes,Selva,660
Massoteres,Segarra,225
Matadepera,Vallès Occidental,8169
Matamala,Capcir,290
Mataró,Maresme,118748
Mediona,Alt Penedès,2083
Menàrguens,Noguera,863
Mentet,Conflent,17
Meranges,Cerdanya,86
Mieres,Garrotxa,331
Millars,Rosselló,3731
Miralcamp,Pla d'Urgell,1310
Miravet,Ribera d'Ebre,796
Moià,Bages,5399
Molig,Conflent,207
Molins de Rei,Baix Llobregat,23374
Mollerussa,Pla d'Urgell,12569
Mollet de Peralada,Alt Empordà,172
Mollet del Vallès,Vallès Oriental,51713
Molló,Ripollès,329
Monistrol de Calders,Bages,691
Monistrol de Montserrat,Bages,2840
Mont-ral,Alt Camp,179
Mont-ras,Baix Empordà,1841
Mont-roig del Camp,Baix Camp,9456
Montagut i Oix,Garrotxa,903
Montblanc,Conca de Barberà,6767
Montboló,Vallespir,195
Montbrió del Camp,Baix Camp,1774
Montcada i Reixac,Vallès Occidental,32153
Montclar,Berguedà,116
Montellà i Martinet,Cerdanya,606
Montescot,Rosselló,1551
Montesquiu,Osona,875
Montesquiu d'Albera,Rosselló,1045
Montferrer,Vallespir,202
Montferrer i Castellbò,Alt Urgell,944
Montferri,Alt Camp,258
Montgai,Noguera,772
Montgat,Maresme,9427
Montlluís,Cerdanya,270
Montmajor,Berguedà,463
Montmaneu,Anoia,201
Montmeló,Vallès Oriental,8921
Montner,Rosselló,290
Montoliu de Lleida,Segrià,498
Montoliu de Segarra,Segarra,186
Montoriol,Rosselló,202
Montornès de Segarra,Segarra,105
Montornès del Vallès,Vallès Oriental,14516
Montseny,Vallès Oriental,299
Móra d'Ebre,Ribera d'Ebre ,5098
Móra la Nova,Ribera d'Ebre ,3216
Morellàs i les Illes,Vallespir,2546
Mosset,Conflent,293
Muntanyola,Osona,464
Mura,Bages,233
Nalec,Urgell,102
Naüja,Cerdanya,63
Naut Aran,Val d'Aran,1732
Navarcles,Bages,5723
Navàs,Bages,5810
Navata,Alt Empordà,980
Navès,Solsonès,262
Nefiac,Rosselló,943
Noedes,Conflent,62
Nulles,Alt Camp,382
Nyer,Conflent,108
Oceja,Cerdanya,1282
Odèn,Solsonès,275
Òdena,Anoia,3100
Ogassa,Ripollès,265
Olèrdola,Alt Penedès,3084
Olesa de Bonesvalls,Alt Penedès ,1506
Olesa de Montserrat,Baix Llobregat ,21714
Oleta i Èvol,Conflent,345
Oliana,Alt Urgell,1939
Oliola,Noguera,246
Olius,Solsonès,686
Olivella,Garraf,2515
Olost,Osona,1187
Olot,Garrotxa,31932
Olvan,Berguedà,922
Oms,Rosselló,268
Òpol i Perellós,Rosselló,726
Orbanyà,Conflent,28
Ordis,Alt Empordà,353
Orellà,Conflent,15
Organyà,Alt Urgell,961
Orís,Osona,284
Oristà,Osona,593
Orpí,Anoia,190
Òrrius,Maresme,295
Os de Balaguer,Noguera,924
Osor,Selva,390
Ossó de Sió,Urgell,236
Paçà,Rosselló,569
Pacs del Penedès,Alt Penedès ,787
Palafolls,Maresme,7583
Palafrugell,Baix Empordà,21307
Palamós,Baix Empordà,17197
Palau de Cerdanya,Cerdanya,424
Palau de Santa Eulàlia,Alt Empordà ,91
Palau del Vidre,Rosselló,2117
Palau-sator,Baix Empordà,280
Palau-saverdera,Alt Empordà ,1197
Palau-solità i Plegamans,Vallès Occidental ,13310
Pallejà,Baix Llobregat,10535
Palol de Revardit,Pla de l'Estany ,429
Pals,Baix Empordà,2400
Pardines,Ripollès,149
Parets del Vallès,Vallès Oriental ,16413
Paretstortes,Rosselló,1403
Parlavà,Baix Empordà,352
Passanant i Belltall,Conca de Barberà ,174
Pau,Alt Empordà,501
Paüls,Baix Ebre,602
Pedret i Marzà,Alt Empordà ,154
Penelles,Noguera,525
Perafita,Osona,379
Perafort,Tarragonès,901
Peralada,Alt Empordà,1625
Peramola,Alt Urgell,377
Perpinyà,Rosselló,116700
Pesillà de la Ribera,Rosselló,2957
Pi de Conflent,Conflent,107
Pià,Rosselló,5120
Piera,Anoia,12951
Pineda de Mar,Maresme,25504
Pinell de Solsonès,Solsonès ,204
Pinós,Solsonès,322
Pira,Conca de Barberà,475
Planès,Cerdanya,27
Planoles,Ripollès,281
Poboleda,Priorat,353
Polinyà,Vallès Occidental ,6764
Pollestres,Rosselló,3884
Pont de Molins,Alt Empordà ,419
Pontellà,Rosselló,1827
Pontils,Conca de Barberà,139
Pontons,Alt Penedès,498
Pontós,Alt Empordà,217
Ponts,Noguera,2567
Porqueres,Pla de l'Estany ,4154
Porrera,Priorat,488
Porta,Cerdanya,98
Portbou,Alt Empordà,1347
Portè i Pimorent,Cerdanya,147
Portvendres,Rosselló,4579
Prada,Conflent,5800
Pradell de la Teixeta,Priorat ,178
Prades,Baix Camp,622
Prat de Comte,Terra Alta,196
Pratdip,Baix Camp,715
Prats de Lluçanès,Osona,2753
Prats de Molló i la Presta,Vallespir,1141
Prats i Sansor,Cerdanya,226
Preixana,Urgell,422
Preixens,Noguera,514
Premià de Dalt,Maresme,9890
Premià de Mar,Maresme,27860
Prullans,Cerdanya,224
Prunet i Bellpuig,Rosselló,68
Puig-reig,Berguedà,4202
Puigbalador,Capcir,93
Puigcerdà,Cerdanya,8859
Puigdàlber,Alt Penedès,377
Puiggròs,Garrigues,298
Puigpelat,Alt Camp,829
Puigverd d'Agramunt,Urgell ,268
Puigverd de Lleida,Segrià ,1259
Pujalt,Anoia,203
Quart,Gironès,2637
Queixàs,Rosselló,101
Queralbs,Ripollès,198
Querol,Alt Camp,416
Rabós,Alt Empordà,194
Rajadell,Bages,467
Ralleu,Conflent,16
Rasquera,Ribera d'Ebre,934
Real,Capcir,31
Regencós,Baix Empordà,304
Reiners,Vallespir,1258
Rellinars,Vallès Occidental ,653
Renau,Tarragonès,93
Reus,Baix Camp,101767
Rià i Cirac,Conflent,1126
Rialp,Pallars Sobirà,649
Riba-roja d'Ebre,Ribera d'Ebre ,1353
Ribera d'Ondara,Segarra,476
Ribera d'Urgellet,Alt Urgell ,971
Ribes de Freser,Ripollès,2017
Ribesaltes,Rosselló,8496
